id,english,korean,korean_distractors,error_choices,phrase_distractors
1070000,Omelets Around the World,전 세계의 오믈렛,,,
1070099,https://cdata.tsherpa.co.kr/QRTextbook/22/contents/P2200229/QR/QR39/index.html,,,,
1070101,"{I} {have} / {a shell}, / but {I’m not} a crab.","저는 껍데기가 있지만, 게는 아니에요.",저는 껍데기가 있고 게이기도 해요.;저는 껍데기는 없지만 게예요.;저는 껍데기가 있지만 달팽이는 아니에요.;저는 게보다 큰 껍데기를 가지고 있어요.;저는 껍데기 안에 게가 있어요.,Me;has;shells;I not,/a hard shell;a small shell;two shells;a green shell;no shell/
1070102,"{I’m} {yellow} and {white}, / but {I’m not} a daisy.","저는 노랗고 하얗지만, 데이지 꽃은 아니에요.",저는 노랗고 하얗고 데이지 꽃이에요.;저는 노랗고 초록색이지만 데이지 꽃은 아니에요.;저는 하얗지만 노란색은 아니에요.;저는 노란 데이지 꽃보다 더 커요.;저는 노랗고 하얀 꽃을 가지고 있어요.,I are;yellowly;whites;I not,I’m red and white;I’m yellow and green;I’m black and white;I’m blue and yellow;I’m green and white/
1070103,"{I’m} {bigger than} / an **olive**, / but {I’m} {smaller than} / an **avocado**.","저는 올리브보다 크지만, 아보카도보다 작아요.",저는 올리브보다 작지만 아보카도보다 커요.;저는 올리브와 아보카도보다 모두 커요.;저는 올리브만큼 크고 아보카도만큼 작아요.;저는 올리브보다 크고 아보카도와 같은 크기예요.;저는 올리브와 아보카도 사이에 있어요.,I are;more big than;I are;more small than,/a lemon;a grape;a cherry;a tomato;a plum//
1070104,What / am I?,저는 무엇일까요?,저는 어디에 있을까요?;저는 누구를 좋아할까요?;저는 얼마나 클까요?;저는 무슨 색일까요?;저는 무엇을 먹을까요?,,/is it;are you;do I;is this;am you
1070201,{Do} {you} / {know} {the answer}?,여러분은 정답을 알고 있나요?,여러분은 질문을 이해하나요?;여러분은 답을 말하고 있나요?;여러분은 이 달걀을 알고 있나요?;여러분은 정답을 써야 하나요?;여러분은 답을 찾을 수 있나요?,Does;your;knows;an answer,/understand the question;know this dish;find the question;say the answer;write the question
1070202,"Yes, / {it} {is} / {an} {egg}.","네, 그것은 달걀입니다.","네, 그것은 게입니다.;아니요, 그것은 달걀이 아닙니다.;네, 그것은 아보카도입니다.;네, 그것은 데이지 꽃입니다.;아니요, 그것은 올리브입니다.",them;are;a;eggs,//a crab;a daisy;an avocado;an olive;a potato
1070203,{There are} / {many different} {egg dishes} / {around the world}.,전 세계에는 많은 다양한 달걀 요리가 있습니다.,전 세계에는 달걀 요리가 거의 없습니다.;전 세계에는 비슷한 달걀 요리만 있습니다.;많은 사람들이 전 세계에서 달걀을 먹습니다.;전 세계에는 많은 다양한 감자 요리가 있습니다.;전 세계의 모든 달걀 요리는 같습니다.,There is;much different;egg dish;around world,//in this town;at the festival;in one country;near the market;at home
1070204,What is / your favorite egg dish?,여러분이 가장 좋아하는 달걀 요리는 무엇인가요?,여러분이 가장 좋아하는 채소 요리는 무엇인가요?;여러분은 어떤 달걀 요리를 만들 수 있나요?;여러분이 가장 좋아하는 음식은 어디에서 왔나요?;여러분은 달걀 요리를 좋아하나요?;여러분은 어떤 오믈렛을 먹고 싶나요?,,/your easiest egg dish;your favorite dessert;your favorite meat dish;your best recipe;your favorite vegetable dish
