id,english,korean,korean_distractors,error_choices,phrase_distractors
1050000,Garam’s Travel Diary to Tongyeong,가람이의 통영 여행 일기,,,
1050099,https://cdata.tsherpa.co.kr/QRTextbook/22/contents/P2200229/QR/QR27/index.html,,,,
1050100,<August 16th>,<8월 16일>,,,
1050101,I {got up} / {at} **six** / {in} the {morning}.,나는 아침 6시에 일어났다.,나는 아침 6시에 잠자리에 들었다.;나는 아침 6시에 집을 나섰다.;나는 아침 6시에 아침을 먹었다.;나는 저녁 6시에 일어났다.;나는 아침 7시에 일어났다.,get up;on;at;morning's,//at night;in the afternoon;after lunch;before school;at noon
1050102,It {was} / the **first** {day} / {of} {my family trip} / to **Tongyeong**.,통영으로의 우리 가족 여행의 첫날이었다.,그날은 통영 가족 여행의 마지막 날이었다.;그날은 친구들과 통영으로 떠나는 첫날이었다.;그날은 우리 가족의 제주 여행 첫날이었다.;통영 여행을 마치고 집으로 돌아가는 날이었다.;우리 가족이 통영을 처음 방문한 날이었다.,were;days;of the;me family trip,//for our school trip;during my family trip;after the long trip;with my family;on our way/
1050103,I was / excited!,나는 신이 났다!,나는 피곤했다!;나는 걱정되었다!;나는 지루했다!;나는 화가 났다!;나는 졸렸다!,,/tired;worried;bored;angry;sleepy
1050201,{We} {arrived} / {at} **Jungang Market** / {at} **1 p.m.**,우리는 오후 1시에 중앙시장에 도착했다.,우리는 오전 1시에 중앙시장에 도착했다.;우리는 오후 1시에 이순신 공원에 도착했다.;우리는 오후 2시에 중앙시장에 도착했다.;우리는 오후 1시에 중앙시장을 떠났다.;우리는 저녁에 중앙시장에 도착했다.,Us;arrive;in;on,/at Yi Sun-sin Park;at Dongpirang;at the art museum;at the bus terminal;at the beach/
1050202,{There} we {had} / **Chungmu gimbap** / {for} {lunch}.,그곳에서 우리는 점심으로 충무김밥을 먹었다.,그곳에서 우리는 저녁으로 충무김밥을 먹었다.;그곳에서 우리는 점심으로 비빔밥을 먹었다.;그곳에서 우리는 점심을 먹지 않았다.;그곳에서 우리는 충무김밥을 샀지만 먹지는 않았다.;그곳에서 우리는 아침으로 충무김밥을 먹었다.,Their;have;to;lunched,//for breakfast;for dinner;after lunch;before lunch;at night
1050203,There {was} / {only rice} / {inside} the {roll}!,롤 안에는 밥만 있었다!,롤 안에는 오징어만 있었다!;롤 안에는 밥과 무가 있었다!;롤 밖에는 밥만 있었다!;롤 안에는 밥이 전혀 없었다!;롤 안에는 여러 가지 재료가 있었다!,were;only rices;into;a roll,//outside the roll;inside the bowl;under the roll;beside the roll;on the plate
1050204,"**Dad** {said,} / “{Try} the {roll} / {with radish and squid}.",아빠는 말씀하셨다. “롤을 무와 오징어랑 함께 먹어 봐.,아빠는 말씀하셨다. “롤을 무와 김치랑 함께 먹어 봐.;아빠는 말씀하셨다. “롤만 먹어 봐.;엄마는 말씀하셨다. “롤을 무와 오징어랑 함께 먹어 봐.;아빠는 말씀하셨다. “무와 오징어는 먹지 마.;아빠는 말씀하셨다. “오징어를 밥과 따로 먹어 봐.,"say,;Trying;a roll;with radish and squid were",//with rice and kimchi;without radish or squid;with bread and cheese;with fish and rice;without any side dishes
1050205,"{Long ago,} / {fishermen} {had} / **Chungmu gimbap** / {out at sea}.”",오래전에 어부들은 바다에 나가서 충무김밥을 먹었어.”,오래전에 어부들은 시장에서 충무김밥을 팔았어.”;오래전에 어부들은 집에서 충무김밥을 먹었어.”;요즘 어부들은 바다에 나가서 충무김밥을 먹어.”;오래전에 군인들은 바다에 나가서 충무김밥을 먹었어.”;오래전에 어부들은 바다에 나가서 생선을 먹었어.”,"Long agos,;fisherman;have;out at sea were",///at the market;at home;near the park;in the museum;on the mountain
1050206,It {was} / {a bit spicy} / {but} {tasty}.,그것은 약간 매웠지만 맛있었다.,그것은 아주 맵고 맛이 없었다.;그것은 약간 달고 맛있었다.;그것은 약간 매웠지만 짰다.;그것은 전혀 맵지 않았지만 맛있었다.;그것은 매우 매웠지만 맛있었다.,were;a bit spicily;but and;tastily,/very sweet;too salty;not spicy;really sour;a little bitter/
1050301,**Chungmu** / is / **Tongyeong’s** old name.,충무는 통영의 옛 이름이다.,충무는 통영의 새 이름이다.;충무는 거제의 옛 이름이다.;통영은 충무의 옛 이름이다.;충무는 통영의 별명이다.;충무는 통영에 있는 시장 이름이다.,,//Tongyeong’s new name;Tongyeong’s nickname;Tongyeong’s first name;Tongyeong’s market name;Tongyeong’s modern name
1050401,"{In the afternoon,} / {we} {went} / {to} **Yi Sun-sin Park**.",오후에 우리는 이순신 공원에 갔다.,오전에 우리는 이순신 공원에 갔다.;오후에 우리는 중앙시장에 갔다.;오후에 우리는 동피랑에 갔다.;오후에 우리는 이순신 공원에서 돌아왔다.;저녁에 우리는 이순신 공원에 갔다.,"On the afternoon,;us;go;at",In the morning;At noon;Late at night;The next day;Early in the morning//
1050402,{There} {was} / a {huge} {statue} / of **Admiral Yi**.,이순신 장군의 거대한 조각상이 있었다.,이순신 장군의 작은 조각상이 있었다.;이순신 장군의 거대한 그림이 있었다.;세종대왕의 거대한 조각상이 있었다.;이순신 장군의 거대한 배가 있었다.;이순신 장군의 조각상은 없었다.,Their;were;hugely;statues,/a small statue;a huge painting;a stone bridge;a tall building;a large ship/
1050403,I {imagined} / the {great battle} / {right off} the {coast} / of **Tongyeong**.,나는 통영의 해안 바로 앞에 있었던 위대한 전투를 상상했다.,나는 통영의 해안에서 벌어진 작은 전투를 상상했다.;나는 통영의 해안 바로 앞에 있었던 위대한 축제를 상상했다.;나는 통영의 산 바로 앞에 있었던 위대한 전투를 상상했다.;나는 통영의 해안 바로 앞에 있었던 위대한 전투를 보았다.;나는 서울의 해안 바로 앞에 있었던 위대한 전투를 상상했다.,imagine;greatly battle;right off to;coast's,//far from the coast;right on the mountain;near the market;in the city center;behind the museum/
1050404,{Then} / we {enjoyed} / {taking a walk} / {along the coast}.,그 다음에 우리는 해안을 따라 산책하는 것을 즐겼다.,그 다음에 우리는 해안을 따라 달리는 것을 즐겼다.;그 다음에 우리는 시장을 따라 산책하는 것을 즐겼다.;그 다음에 우리는 해안을 따라 산책하는 것을 끝냈다.;그 다음에 우리는 해안에서 사진 찍는 것을 즐겼다.;그 전에 우리는 해안을 따라 산책하는 것을 즐겼다.,"Then did,;enjoy;take a walk;along coast",//taking pictures;having lunch;riding a horse;watching a movie;buying seafood/
1050405,The sunset / was / beautiful.,일몰이 아름다웠다.,일출이 아름다웠다.;일몰이 무서웠다.;바다가 아름다웠다.;일몰이 흐릿했다.;일몰은 보이지 않았다.,,//ugly;dark;peaceful;amazing;bright
1050406,I / closed / my eyes.,나는 눈을 감았다.,나는 눈을 떴다.;나는 귀를 막았다.;나는 사진을 찍었다.;나는 손을 흔들었다.;나는 눈을 크게 떴다.,,//my ears;my hands;my mouth;my book;my camera
