id,english,korean,korean_distractors,error_choices,phrase_distractors
1060000,Pictures Talk About the Artist!,그림이 예술가에 대해 이야기한다!,,,
1060099,https://cdata.tsherpa.co.kr/QRTextbook/22/contents/P2200229/QR/QR33/index.html,,,,
1060101,"Hello, / everyone.","안녕하세요, 여러분.","안녕히 가세요, 여러분.;여러분, 다시 만났네요.;안녕하세요, 선생님.;여러분, 제 말을 들어 보세요.;여러분, 좋은 아침이에요.",,
1060102,My name is / **Amélie**.,제 이름은 Amelie입니다.,제 남편의 이름은 Amelie입니다.;저는 Amelie의 친구입니다.;제 이름은 Henri입니다.;저는 Amelie를 찾고 있습니다.;Amelie는 제 딸의 이름입니다.,,
1060103,{Welcome} / {to} my {husband’s} {gallery}.,제 남편의 미술관에 오신 것을 환영합니다.,제 남편의 집에 오신 것을 환영합니다.;제 미술관에 오신 것을 환영합니다.;제 남편의 미술관을 떠나 주세요.;제 남편의 작업실에 오신 것을 환영합니다.;우리 학교 미술실에 오신 것을 환영합니다.,Welcoming;at;husband;galleries,/to the school library;to my husband’s studio;to our art class;to the city museum;to my family’s house
1060104,Look / at me.,저를 보세요.,저를 따라오세요.;그 그림을 보세요.;제 남편을 보세요.;저에게 말해 주세요.;저를 기다려 주세요.,,/at him;at her;at the painting;at the wall;at Matisse
1060105,{Do} {you think} / {that} {I’m} strange?,여러분은 제가 이상하다고 생각하세요?,여러분은 제 남편이 이상하다고 생각하세요?;여러분은 제가 아름답다고 생각하세요?;여러분은 이 그림이 이상하다고 생각하세요?;여러분은 제가 화가라고 생각하세요?;여러분은 제가 걱정하고 있다고 생각하세요?,Does;you thinks;what;I,/that I’m beautiful;that he is strange;that this is art;that I’m worried;that I’m a painter
1060106,"My {husband}, **Henri Matisse**, / {colored} my {face} / {in} green.","제 남편, 앙리 마티스가 제 얼굴을 녹색으로 칠했어요.","제 남편, 앙리 마티스가 제 얼굴을 파란색으로 칠했어요.;앙리 마티스가 자신의 얼굴을 녹색으로 칠했어요.;제 남편이 제 모자를 녹색으로 칠했어요.;앙리 마티스가 제 얼굴을 실제로 녹색으로 만들었어요.;제 남편, 앙리 마티스가 제 얼굴을 밝은 빨간색으로 칠했어요.",husbands;color;faces;on,/painted the wall;colored my hat;painted his face;colored the paper;painted the gallery/
1060107,Don’t / worry.,걱정 마세요.,걱정하세요.;서두르지 마세요.;놀라지 마세요.;저를 보지 마세요.;그림을 만지지 마세요.,,/cry;hurry;move;stop;leave
1060108,{My face} {isn’t} / {actually} {green}.,제 얼굴은 실제로 녹색이 아니에요.,제 얼굴은 실제로 녹색이에요.;제 모자는 실제로 녹색이 아니에요.;제 얼굴은 그림에서 보이지 않아요.;제 얼굴은 실제로 파란색이 아니에요.;제 남편의 얼굴은 실제로 녹색이 아니에요.,Mine face;aren’t;actual;greenly,/is really blue;is actually green;is not in the painting;looks very strange;is naturally red
1060109,Why {did} {he} {paint} {me} / this way then?,그러면 왜 그는 저를 이런 식으로 칠한 걸까요?,그러면 왜 그는 자신을 이런 식으로 칠한 걸까요?;그러면 그는 언제 저를 이런 식으로 칠했을까요?;그러면 왜 그는 제 얼굴을 지웠을까요?;그러면 왜 사람들은 이 그림을 좋아하지 않았을까요?;그러면 그는 왜 이 그림을 미술관에 두었을까요?,does;him;painted;I,/that way today;in green again;with those colors;like a beast;at the gallery
1060110,He {wanted} / {to express} {his emotions} / with bright and wild {colors}.,그는 밝고 거친 색으로 자신의 감정을 표현하고 싶었거든요.,그는 밝고 거친 색으로 제 얼굴을 사실적으로 그리고 싶었거든요.;그는 어둡고 부드러운 색으로 자신의 감정을 숨기고 싶었거든요.;그는 밝고 거친 색으로 사람들의 감정을 표현하고 싶었거든요.;그는 밝고 거친 색을 사용하지 않으려고 했거든요.;그는 자신의 감정을 말로 표현하고 싶었거든요.,want;expressing;he emotions;color,/to hide his emotions;to copy the real colors;to paint a realistic face;to please other people;to follow an old style/
1060111,{People} {didn’t} / {like} {this painting style} / at first.,사람들은 처음에 이런 그림 스타일을 좋아하지 않았어요.,사람들은 처음부터 이런 그림 스타일을 좋아했어요.;사람들은 나중에 이런 그림 스타일을 좋아하지 않았어요.;화가들은 처음에 이런 그림 스타일을 좋아하지 않았어요.;사람들은 처음에 이 그림의 색만 좋아했어요.;사람들은 처음에 마티스의 별명을 좋아하지 않았어요.,Person;doesn’t;liked;these painting style,/loved this painting style;didn’t understand the gallery;didn’t like his nickname;liked these bright colors;didn’t know this painter/
1060112,{Some people} {thought} / {that} {a beast} painted me.,어떤 사람들은 야수가 저를 그렸다고 생각했죠.,어떤 사람들은 마티스가 야수를 그렸다고 생각했죠.;모든 사람들은 야수가 저를 그렸다고 생각했죠.;어떤 사람들은 제가 야수를 그렸다고 생각했죠.;어떤 사람들은 야수가 제 남편을 그렸다고 생각했죠.;어떤 사람들은 이 그림이 아름답다고 생각했죠.,Some person;thinked;what;an beast,/that Matisse painted a beast;that I painted myself;that everyone liked me;that the colors were real;that my husband was strange
1060113,"So, {he} {got} / {the nickname} {Wild Beast}.",그래서 그는 ‘야수’라는 별명을 얻었어요.,그래서 그는 ‘초록 얼굴’이라는 별명을 얻었어요.;그래서 사람들은 그 그림을 ‘야수’라고 불렀어요.;그래서 그는 ‘야수’라는 이름의 그림을 그렸어요.;그래서 그는 자신의 별명을 잃었어요.;그래서 그의 아내가 ‘야수’라는 별명을 얻었어요.,him;get;a nickname;Wild Beasts,/the nickname Green Face;the name Great Painter;the nickname Color King;the title Wild Artist;the name Henri Beast
1060114,{He} {kept} / {his own style} / and {finally became} famous.,그는 자신만의 스타일을 지켰고 마침내 유명해졌어요.,그는 자신의 스타일을 버렸고 마침내 유명해졌어요.;그는 다른 화가의 스타일을 따랐지만 유명해지지 못했어요.;그는 자신만의 스타일을 지켰지만 사람들에게 알려지지 않았어요.;그는 처음부터 유명했고 자신의 스타일을 바꾸었어요.;그는 자신만의 미술관을 만들고 마침내 유명해졌어요.,Him;keep;he own style;final became,/the traditional style;other people’s style;a different style;the same old style;his wife’s style/
1060201,"Hi, / there.",안녕하세요.,안녕히 가세요.;다시 만나요.;감사합니다.;잠깐만요.;어서 오세요.,,
1060202,{Can} {you} / {find} {me} / in the picture?,여러분은 그림에서 저를 찾을 수 있나요?,여러분은 미술관에서 마티스를 찾을 수 있나요?;여러분은 그림에서 달팽이 껍데기를 그릴 수 있나요?;여러분은 그림에서 녹색 모양을 찾을 수 있나요?;여러분은 그림에서 저를 지울 수 있나요?;여러분은 사진에서 저를 찾을 수 있나요?,Does;your;finding;I,//in the gallery;in the museum;on the paper;inside the shell;under the picture
1060203,"{Actually}, {I’m} / {an} {animal}.","사실, 저는 동물이에요.","사실, 저는 사람이에요.;사실, 저는 그림이에요.;사실, 저는 화가예요.;사실, 저는 식물이에요.;사실, 저는 미술관이에요.",Actual;I are;a;animals,/I’m a person;I’m a painter;I’m a plant;I’m an artist;I’m a picture
